flag=1 data=42
Iteration 787: flag=1, data=42
Iteration 788: flag=1, data=42
Iteration 789: flag=1, data=42
Iteration 790: flag=1, data=42
Iteration 791: flag=1, data=42
Iteration 792: flag=1, data=42
Iteration 793: flag=1, data=42
Iteration 794: flag=1, data=42
Iteration 795: flag=1, data=42
Iteration 796: flag=1, data=42
Iteration 797: flag=1, data=42
Iteration 798: flag=1, data=42
Iteration 799: flag=1, data=42
Iteration 800: flag=1, data=42
Iteration 801: flag=1, data=42
Iteration 802: flag=1, data=42
Iteration 803: flag=1, data=42
Iteration 804: flag=1, data=42
Iteration 805: flag=1, data=42
Iteration 806: flag=1, data=42
Iteration 807: flag=1, data=42
Iteration 808: flag=1, data=42
Iteration 809: flag=1, data=42
Iteration 810: flag=1, data=42
Iteration 811: flag=1, data=42
Iteration 812: flag=1, data=42
Iteration 813: flag=1, data=42
Iteration 814: flag=1, data=42
Iteration 815: flag=1, data=42
Iteration 816: flag=1, data=42
Iteration 817: flag=1, data=42
Iteration 818: flag=1, data=42
Iteration 819: flag=1, data=42
Iteration 820: flag=1, data=42
Iteration 821: flag=1, data=42
Iteration 822: flag=1, data=42
Iteration 823: flag=1, data=42
Iteration 824: flag=1, data=42
Iteration 825: flag=1, data=42
Iteration 826: flag=1, data=42
Iteration 827: flag=1, data=42
Iteration 828: flag=1, data=42
Iteration 829: flag=1, data=42
Iteration 830: flag=1, data=42
Iteration 831: flag=1, data=42
Iteration 832: flag=1, data=42
Iteration 833: flag=1, data=42
Iteration 834: flag=1, data=42
Iteration 835: flag=1, data=42
Iteration 836: flag=1, data=42
Iteration 837: flag=1, data=42
Iteration 838: flag=1, data=42
Iteration 839: flag=1, data=42
Iteration 840: flag=1, data=42
Iteration 841: flag=1, data=42
Iteration 842: flag=1, data=42
Iteration 843: flag=1, data=42
Iteration 844: flag=1, data=42
Iteration 845: flag=1, data=42
Iteration 846: flag=1, data=42
Iteration 847: flag=1, data=42
Iteration 848: flag=1, data=42
Iteration 849: flag=1, data=42
Iteration 850: flag=1, data=42
Iteration 851: flag=1, data=42
Iteration 852: flag=1, data=42
Iteration 853: flag=1, data=42
Iteration 854: flag=1, data=42
Iteration 855: flag=1, data=42
Iteration 856: flag=1, data=42
Iteration 857: flag=1, data=42
Iteration 858: flag=1, data=42
Iteration 859: flag=1, data=42
Iteration 860: flag=1, data=42
Iteration 861: flag=1, data=42
Iteration 862: flag=1, data=42
Iteration 863: flag=1, data=42
Iteration 864: flag=1, data=42
Iteration 865: flag=1, data=42
Iteration 866: flag=1, data=42
Iteration 867: flag=1, data=42
